feature_id,feature_name,feature_group,kind,source_table,dependencies,compute_fn,pit_rule,cacheable,formula,yaml_refs,registry_refs,status,notes
ar,ar,financial_stmt,raw,balancesheet,,,point_in_time,no,,,qlib_adapter,active,
margin_balance,margin_balance,margin,raw,margin_detail,,,point_in_time,no,,,qlib_adapter,active,
margin_buy_amount,margin_buy_amount,margin,raw,margin_detail,,,point_in_time,no,,,qlib_adapter,active,
margin_repay_amount,margin_repay_amount,margin,raw,margin_detail,,,point_in_time,no,,,qlib_adapter,active,
margin_total_balance,margin_total_balance,margin,raw,margin_detail,,,point_in_time,no,,,qlib_adapter,active,
lend_volume,lend_volume,margin,raw,margin_detail,,,point_in_time,no,,,qlib_adapter,active,
lend_sell_volume,lend_sell_volume,margin,raw,margin_detail,,,point_in_time,no,,,qlib_adapter,active,
lend_repay_volume,lend_repay_volume,margin,raw,margin_detail,,,point_in_time,no,,,qlib_adapter,active,
industry,industry,classification,raw,daily,,,daily,no,,,qlib_adapter,active,
float_shares,float_shares,shares,raw,daily,,,daily,no,,,qlib_adapter,active,
holder_num,holder_num,shareholder,raw,parquet,,,point_in_time,no,,,qlib_adapter,active,external
top10_holder_ratio,top10_holder_ratio,shareholder,raw,parquet,,,point_in_time,no,,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,qlib_adapter,active,external
amount_log_ind_zscore,amount_log_ind_zscore,liquidity,derived,,amount_log; industry,build_liquidity_features,cross_sectional,no,Industry cross-sectional z-score of log amount,,liquidity,active,
turnover_rate_ind_zscore,turnover_rate_ind_zscore,liquidity,derived,,turnover_rate; industry,build_liquidity_features,cross_sectional,no,Industry cross-sectional z-score of turnover rate,,liquidity,active,
forecast_type_score,forecast_type_score,growth_confirmation_v0,derived,forecast,,build_growth_confirmation_features,point_in_time,no,Forecast type mapped to an ordinal score,,growth_confirmation_v0,active,
forecast_stale_days,forecast_stale_days,growth_confirmation_v0,derived,forecast,,build_growth_confirmation_features,point_in_time,no,Age of latest visible forecast,,growth_confirmation_v0,active,
has_forecast,has_forecast,growth_confirmation_v0,derived,forecast,,build_growth_confirmation_features,point_in_time,no,Latest visible forecast indicator,,growth_confirmation_v0,active,
ttm_revenue_yoy,ttm_revenue_yoy,growth_confirmation_v0,derived,income,,build_growth_confirmation_features,point_in_time,no,Trailing revenue year-over-year growth,,growth_confirmation_v0,active,
single_q_revenue_yoy,single_q_revenue_yoy,growth_confirmation_v0,derived,income,,build_growth_confirmation_features,point_in_time,no,Single-quarter revenue year-over-year growth,,growth_confirmation_v0,active,
is_profitable_ttm,is_profitable_ttm,growth_confirmation_v0,derived,income,,build_growth_confirmation_features,point_in_time,no,Trailing profitability indicator,,growth_confirmation_v0,active,
gross_margin_delta_yoy,gross_margin_delta_yoy,growth_confirmation_v0,derived,income,,build_growth_confirmation_features,point_in_time,no,Gross-margin year-over-year change,,growth_confirmation_v0,active,
breakout_252d_high,breakout_252d_high,growth_confirmation_v0,derived,daily,close,build_growth_confirmation_features,rolling_past,no,Price breakout above trailing 252-session high,,growth_confirmation_v0,active,
days_since_252d_high,days_since_252d_high,growth_confirmation_v0,derived,daily,close,build_growth_confirmation_features,rolling_past,no,Sessions since trailing 252-session high,,growth_confirmation_v0,active,
